id,nombre
1,
2,Autoinmune
3,Biofilm
4,Candida albicans
5,Disregulación
6,Hipersensibilidad
7,Ideopática
8,M. tuberculosis
9,Mutación ADN
10,Radiación UV
11,S. aureus
12,Sicológica
13,Tabaco
14,Trauma
15,Trauma crónico
16,Treponema pallidum
17,Virus coxsakie A
18,Virus herpes simplex tipo 1
19,Virus herpes zoster
20,Virus papiloma humano
